iter	Passed	Remaining
0	4	1225
1	8	1276
2	12	1281
3	17	1302
4	21	1282
5	26	1286
6	30	1282
7	34	1266
8	38	1252
9	42	1246
10	46	1233
11	51	1230
12	55	1217
13	61	1249
14	66	1267
15	72	1294
16	80	1333
17	86	1351
18	90	1344
19	95	1337
20	99	1325
21	103	1310
22	108	1307
23	113	1309
24	118	1298
25	122	1291
26	127	1286
27	131	1276
28	135	1270
29	140	1262
30	144	1254
31	148	1246
32	153	1238
33	158	1238
34	162	1228
35	167	1225
36	171	1218
37	175	1213
38	180	1207
39	184	1202
40	189	1199
41	194	1192
42	198	1185
43	203	1182
44	207	1176
45	212	1174
46	217	1169
47	221	1165
48	226	1160
49	231	1155
50	235	1148
51	240	1145
52	244	1138
53	248	1132
54	252	1126
55	257	1121
56	261	1115
57	266	1110
58	270	1104
59	274	1099
60	279	1094
61	283	1087
62	288	1083
63	292	1078
64	296	1073
65	301	1068
66	306	1064
67	310	1059
68	314	1054
69	319	1048
70	323	1043
71	328	1038
72	332	1032
73	336	1028
74	341	1023
75	345	1019
76	350	1014
77	354	1009
78	358	1003
79	363	999
80	367	993
81	372	989
82	376	984
83	380	979
84	385	974
85	389	968
86	392	961
87	396	955
88	400	948
89	404	943
90	408	938
91	411	930
92	415	924
93	420	920
94	424	915
95	428	910
96	432	905
97	436	900
98	440	894
99	444	889
100	448	883
101	451	875
102	455	871
103	459	866
104	463	860
105	467	855
106	471	850
107	475	844
108	479	840
109	483	834
110	487	829
111	490	823
112	495	819
113	499	814
114	503	809
115	506	803
116	510	799
117	514	793
118	519	789
119	522	784
120	527	779
121	531	775
122	535	770
123	539	765
124	543	760
125	547	756
126	552	752
127	555	746
128	559	742
129	563	736
130	567	732
131	571	727
132	576	723
133	580	718
134	584	714
135	587	708
136	592	704
137	596	700
138	600	695
139	604	690
140	609	686
141	613	682
142	617	678
143	621	673
144	625	668
145	628	663
146	632	658
147	636	653
148	639	648
149	643	643
150	647	638
151	651	633
152	655	629
153	659	625
154	662	619
155	666	615
156	670	610
157	674	606
158	678	601
159	682	597
160	686	592
161	690	588
162	693	583
163	697	578
164	701	573
165	704	568
166	708	564
167	713	560
168	717	556
169	721	551
170	724	546
171	728	542
172	732	537
173	736	533
174	740	528
175	744	524
176	748	519
177	752	515
178	755	510
179	759	506
180	763	502
181	767	497
182	771	493
183	775	488
184	779	484
185	783	480
186	787	475
187	791	471
188	795	467
189	799	462
190	802	458
191	806	453
192	810	449
193	814	445
194	818	440
195	821	435
196	825	431
197	829	427
198	833	423
199	837	418
200	841	414
201	845	410
202	848	405
203	852	401
204	856	396
205	859	392
206	864	388
207	867	383
208	871	379
209	874	374
210	878	370
211	882	366
212	885	361
213	889	357
214	893	353
215	897	349
216	901	344
217	904	340
218	908	335
219	912	331
220	916	327
221	921	323
222	924	319
223	928	315
224	932	310
225	936	306
226	940	302
227	943	297
228	947	293
229	950	289
230	954	285
231	957	280
232	961	276
233	965	272
234	969	268
235	972	263
236	976	259
237	980	255
238	983	251
239	986	246
240	989	242
241	993	238
242	997	233
243	1001	229
244	1004	225
245	1008	221
246	1012	217
247	1016	213
248	1020	208
249	1023	204
250	1027	200
251	1031	196
252	1035	192
253	1039	188
254	1043	184
255	1046	179
256	1050	175
257	1054	171
258	1057	167
259	1061	163
260	1064	159
261	1069	155
262	1072	150
263	1077	146
264	1082	142
265	1087	138
266	1092	135
267	1097	131
268	1102	127
269	1108	123
270	1113	119
271	1117	115
272	1121	110
273	1124	106
274	1127	102
275	1131	98
276	1135	94
277	1138	90
278	1143	86
279	1146	81
280	1150	77
281	1154	73
282	1157	69
283	1160	65
284	1164	61
285	1167	57
286	1171	53
287	1175	48
288	1178	44
289	1182	40
290	1186	36
291	1189	32
292	1193	28
293	1196	24
294	1200	20
295	1203	16
296	1207	12
297	1212	8
298	1217	4
299	1221	0
