repository_name,snapshot_date,commit_frequency_30d,defect_count_30d,active_contributors_30d,modification_count_30d,avg_complexity_30d,avg_maintainability_30d,risk_score_30d,commit_frequency_60d,defect_count_60d,active_contributors_60d,modification_count_60d,avg_complexity_60d,avg_maintainability_60d,risk_score_60d,commit_frequency_90d,defect_count_90d,active_contributors_90d,modification_count_90d,avg_complexity_90d,avg_maintainability_90d,risk_score_90d,future_defect_count_30d,future_modification_intensity_30d,future_risk_30d,future_defect_count_60d,future_modification_intensity_60d,future_risk_60d,future_defect_count_90d,future_modification_intensity_90d,future_risk_90d
airflow,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
airflow,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
airflow,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
ansible,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
ansible,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
ansible,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
axios,2025-04-01,31,11,1,0,3.0,-1.0,55.0,61,21,1,0,3.0,-1.0,105.0,91,31,1,250,3.0,-1.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
axios,2025-04-08,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,107,3.0,-1.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
axios,2025-04-15,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,8,3.0,-1.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
click,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
click,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
click,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
databases,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
databases,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
databases,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
django,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
django,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
django,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
elasticsearch,2025-04-01,31,11,1,0,3.0,-1.0,55.0,61,21,1,0,3.0,-1.0,105.0,91,31,1,250,3.0,-1.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
elasticsearch,2025-04-08,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,107,3.0,-1.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
elasticsearch,2025-04-15,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,8,3.0,-1.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
express,2025-04-01,31,11,1,0,3.0,-1.0,55.0,61,21,1,0,3.0,-1.0,105.0,91,31,1,250,3.0,-1.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
express,2025-04-08,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,107,3.0,-1.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
express,2025-04-15,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,8,3.0,-1.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
fastapi,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
fastapi,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
fastapi,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
great_expectations,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
great_expectations,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
great_expectations,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
jinja,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
jinja,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
jinja,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
localstack,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
localstack,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
localstack,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
lodash,2025-04-01,31,11,1,0,3.0,-1.0,55.0,61,21,1,0,3.0,-1.0,105.0,91,31,1,250,3.0,-1.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
lodash,2025-04-08,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,107,3.0,-1.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
lodash,2025-04-15,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,8,3.0,-1.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
pandas,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
pandas,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
pandas,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
prefect,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
prefect,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
prefect,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
prisma,2025-04-01,31,11,1,0,3.0,-1.0,55.0,61,21,1,0,3.0,-1.0,105.0,91,31,1,250,3.0,-1.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
prisma,2025-04-08,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,107,3.0,-1.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
prisma,2025-04-15,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,8,3.0,-1.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
pytest,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
pytest,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
pytest,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
pytorch,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
pytorch,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
pytorch,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
ray,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
ray,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
ray,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
redux,2025-04-01,31,11,1,0,3.0,-1.0,55.0,61,21,1,0,3.0,-1.0,105.0,91,31,1,250,3.0,-1.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
redux,2025-04-08,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,107,3.0,-1.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
redux,2025-04-15,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,8,3.0,-1.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
requests,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
requests,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
requests,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
scikit-learn,2025-04-01,31,11,1,0,3.0,85.0,55.0,61,21,1,0,3.0,85.0,105.0,91,31,1,250,3.0,85.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
scikit-learn,2025-04-08,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,107,3.0,85.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
scikit-learn,2025-04-15,31,10,1,0,3.0,85.0,50.0,61,20,1,0,3.0,85.0,100.0,91,30,1,8,3.0,85.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
svelte,2025-04-01,31,11,1,0,3.0,-1.0,55.0,61,21,1,0,3.0,-1.0,105.0,91,31,1,250,3.0,-1.0,180.0,10,0,50.0,20,0,100.0,30,0,150.0
svelte,2025-04-08,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,107,3.0,-1.0,160.7,10,0,50.0,20,0,100.0,30,0,150.0
svelte,2025-04-15,31,10,1,0,3.0,-1.0,50.0,61,20,1,0,3.0,-1.0,100.0,91,30,1,8,3.0,-1.0,150.8,10,0,50.0,20,0,100.0,30,0,150.0
