repository_name,file_path,language,loc,complexity,maintainability_index,commit_count,modification_count,contributor_count,commit_frequency,repository_age_days,risk_score,risk_label
JOBPORTAL,job-portal-mern/server/server.js,javascript,20,3,-1.0,2,2,2,0.25,8,29.0,LOW
JOBPORTAL,job-portal-mern/server/app.js,javascript,44,6,-1.0,3,3,2,0.375,8,40.0,MEDIUM
JOBPORTAL,job-portal-mern/server/config/db.js,javascript,16,2,-1.0,1,1,1,0.125,8,23.33,LOW
JOBPORTAL,job-portal-mern/server/config/cloudinary.js,javascript,21,3,-1.0,1,1,1,0.125,8,26.0,LOW
JOBPORTAL,job-portal-mern/server/config/email.js,javascript,18,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/middlewares/authMiddleware.js,javascript,23,5,-1.0,1,1,1,0.125,8,31.33,MEDIUM
JOBPORTAL,job-portal-mern/server/middlewares/errorMiddleware.js,javascript,10,3,-1.0,1,1,1,0.125,8,26.0,LOW
JOBPORTAL,job-portal-mern/server/middlewares/imageUpload.js,javascript,31,6,-1.0,2,2,1,0.25,8,37.0,MEDIUM
JOBPORTAL,job-portal-mern/server/middlewares/roleMiddleware.js,javascript,8,3,-1.0,1,1,1,0.125,8,26.0,LOW
JOBPORTAL,job-portal-mern/server/middlewares/uploadMiddleware.js,javascript,31,6,-1.0,1,1,1,0.125,8,34.0,MEDIUM
JOBPORTAL,job-portal-mern/server/utils/sendEmail.js,javascript,24,2,-1.0,1,1,1,0.125,8,23.33,LOW
JOBPORTAL,job-portal-mern/server/utils/generateToken.js,javascript,13,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/models/Job.js,javascript,55,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/models/User.js,javascript,81,7,-1.0,3,3,2,0.375,8,42.67,MEDIUM
JOBPORTAL,job-portal-mern/server/models/Log.js,javascript,7,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/models/JobAlert.js,javascript,29,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/models/Application.js,javascript,29,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/scripts/runJobAlerts.js,javascript,57,4,-1.0,1,1,1,0.125,8,28.67,LOW
JOBPORTAL,job-portal-mern/server/controllers/alertController.js,javascript,56,9,-1.0,1,1,1,0.125,8,42.0,MEDIUM
JOBPORTAL,job-portal-mern/server/controllers/jobController.js,javascript,138,23,-1.0,1,1,1,0.125,8,58.0,MEDIUM
JOBPORTAL,job-portal-mern/server/controllers/userController.js,javascript,48,8,-1.0,1,1,1,0.125,8,39.33,MEDIUM
JOBPORTAL,job-portal-mern/server/controllers/adminController.js,javascript,77,9,-1.0,1,1,1,0.125,8,42.0,MEDIUM
JOBPORTAL,job-portal-mern/server/controllers/authController.js,javascript,127,22,-1.0,2,2,2,0.25,8,61.0,MEDIUM
JOBPORTAL,job-portal-mern/server/controllers/applicationController.js,javascript,183,37,-1.0,4,4,2,0.5,8,67.0,MEDIUM
JOBPORTAL,job-portal-mern/server/routes/jobRoutes.js,javascript,39,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/routes/authRoutes.js,javascript,8,1,-1.0,2,2,2,0.25,8,23.67,LOW
JOBPORTAL,job-portal-mern/server/routes/userRoutes.js,javascript,81,21,-1.0,3,3,2,0.375,8,64.0,MEDIUM
JOBPORTAL,job-portal-mern/server/routes/applicationRoutes.js,javascript,44,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/server/routes/adminRoutes.js,javascript,20,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/client/tailwind.config.js,javascript,103,1,-1.0,4,4,2,0.5,8,29.67,LOW
JOBPORTAL,job-portal-mern/client/test_login_client.js,javascript,26,4,-1.0,1,1,1,0.125,8,28.67,LOW
JOBPORTAL,job-portal-mern/client/vite.config.js,javascript,8,1,-1.0,2,2,2,0.25,8,23.67,LOW
JOBPORTAL,job-portal-mern/client/eslint.config.js,javascript,28,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/client/postcss.config.js,javascript,6,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/client/src/main.jsx,javascript,15,1,-1.0,2,2,2,0.25,8,23.67,LOW
JOBPORTAL,job-portal-mern/client/src/App.jsx,javascript,140,2,-1.0,4,4,2,0.5,8,32.33,MEDIUM
