repository_name,Repository Cloned?,Repository Mined?,Repository Stats Generated?,Commits Extracted?,Contributors Extracted?,Modifications Extracted?,Quality Metrics Generated?,Rows Entering Dataset Builder?,Rows Removed During Cleaning?,Rows Removed During Labeling?,Rows Removed During Feature Engineering?,Rows Present In Final Dataset?
airflow,No,No,No,No,No,No,No,0,0,0,0,0
ansible,No,No,No,No,No,No,No,0,0,0,0,0
axios,No,No,No,No,No,No,No,0,0,0,0,0
click,Yes,Yes,Yes,Yes,Yes,Yes,Yes,63,0,0,0,63
databases,Yes,Yes,Yes,Yes,Yes,Yes,Yes,24,0,0,0,24
django,No,No,No,No,No,No,No,0,0,0,0,0
elasticsearch,No,No,No,No,No,No,No,0,0,0,0,0
express,No,No,No,No,No,No,No,0,0,0,0,0
fastapi,No,No,No,No,No,No,No,0,0,0,0,0
great_expectations,No,No,No,No,No,No,No,0,0,0,0,0
jinja,No,No,No,No,No,No,No,0,0,0,0,0
localstack,No,No,No,No,No,No,No,0,0,0,0,0
lodash,No,No,No,No,No,No,No,0,0,0,0,0
pandas,No,No,No,No,No,No,No,0,0,0,0,0
prefect,No,No,No,No,No,No,No,0,0,0,0,0
prisma,No,No,No,No,No,No,No,0,0,0,0,0
pytest,Yes,Yes,Yes,Yes,Yes,Yes,Yes,241,0,0,0,241
pytorch,No,No,No,No,No,No,No,0,0,0,0,0
ray,No,No,No,No,No,No,No,0,0,0,0,0
redux,No,No,No,No,No,No,No,0,0,0,0,0
requests,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,0,0,0,37
scikit-learn,No,No,No,No,No,No,No,0,0,0,0,0
svelte,No,No,No,No,No,No,No,0,0,0,0,0
