repository_name,file_path,language,source_code
lodash,file_13.js,javascript,"// Mock file 13 for lodash
function testFunc13() {
    const a = 13;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_17.js,javascript,"// Mock file 17 for lodash
function testFunc17() {
    const a = 17;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_23.js,javascript,"// Mock file 23 for lodash
function testFunc23() {
    const a = 23;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_16.js,javascript,"// Mock file 16 for lodash
function testFunc16() {
    const a = 16;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_22.js,javascript,"// Mock file 22 for lodash
function testFunc22() {
    const a = 22;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_12.js,javascript,"// Mock file 12 for lodash
function testFunc12() {
    const a = 12;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_5.js,javascript,"// Mock file 5 for lodash
function testFunc5() {
    const a = 5;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_19.js,javascript,"// Mock file 19 for lodash
function testFunc19() {
    const a = 19;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_1.js,javascript,"// Mock file 1 for lodash
function testFunc1() {
    const a = 1;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_0.js,javascript,"// Mock file 0 for lodash
function testFunc0() {
    const a = 0;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_4.js,javascript,"// Mock file 4 for lodash
function testFunc4() {
    const a = 4;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_18.js,javascript,"// Mock file 18 for lodash
function testFunc18() {
    const a = 18;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_3.js,javascript,"// Mock file 3 for lodash
function testFunc3() {
    const a = 3;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_7.js,javascript,"// Mock file 7 for lodash
function testFunc7() {
    const a = 7;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_6.js,javascript,"// Mock file 6 for lodash
function testFunc6() {
    const a = 6;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_2.js,javascript,"// Mock file 2 for lodash
function testFunc2() {
    const a = 2;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_9.js,javascript,"// Mock file 9 for lodash
function testFunc9() {
    const a = 9;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_15.js,javascript,"// Mock file 15 for lodash
function testFunc15() {
    const a = 15;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_21.js,javascript,"// Mock file 21 for lodash
function testFunc21() {
    const a = 21;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_11.js,javascript,"// Mock file 11 for lodash
function testFunc11() {
    const a = 11;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_24.js,javascript,"// Mock file 24 for lodash
function testFunc24() {
    const a = 24;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_10.js,javascript,"// Mock file 10 for lodash
function testFunc10() {
    const a = 10;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_8.js,javascript,"// Mock file 8 for lodash
function testFunc8() {
    const a = 8;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_14.js,javascript,"// Mock file 14 for lodash
function testFunc14() {
    const a = 14;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
lodash,file_20.js,javascript,"// Mock file 20 for lodash
function testFunc20() {
    const a = 20;
    const b = a * 2;
    console.log(""Value is"", b);
    return b;
}
"
databases,file_1.py,python,"# Mock file 1 for databases
def test_func_1():
    a = 1
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_19.py,python,"# Mock file 19 for databases
def test_func_19():
    a = 19
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_5.py,python,"# Mock file 5 for databases
def test_func_5():
    a = 5
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_18.py,python,"# Mock file 18 for databases
def test_func_18():
    a = 18
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_4.py,python,"# Mock file 4 for databases
def test_func_4():
    a = 4
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_0.py,python,"# Mock file 0 for databases
def test_func_0():
    a = 0
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_23.py,python,"# Mock file 23 for databases
def test_func_23():
    a = 23
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_17.py,python,"# Mock file 17 for databases
def test_func_17():
    a = 17
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_13.py,python,"# Mock file 13 for databases
def test_func_13():
    a = 13
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_12.py,python,"# Mock file 12 for databases
def test_func_12():
    a = 12
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_22.py,python,"# Mock file 22 for databases
def test_func_22():
    a = 22
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_16.py,python,"# Mock file 16 for databases
def test_func_16():
    a = 16
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_11.py,python,"# Mock file 11 for databases
def test_func_11():
    a = 11
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_21.py,python,"# Mock file 21 for databases
def test_func_21():
    a = 21
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_15.py,python,"# Mock file 15 for databases
def test_func_15():
    a = 15
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_9.py,python,"# Mock file 9 for databases
def test_func_9():
    a = 9
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_20.py,python,"# Mock file 20 for databases
def test_func_20():
    a = 20
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_14.py,python,"# Mock file 14 for databases
def test_func_14():
    a = 14
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_8.py,python,"# Mock file 8 for databases
def test_func_8():
    a = 8
    b = a * 2
    print(""Value is"", b)
    return b
"
databases,file_10.py,python,"# Mock file 10 for databases
def test_func_10():
    a = 10
    b = a * 2
    print(""Value is"", b)
    return b
"
