repository_name,repository_language,repository_size,repository_age,total_commits,total_contributors
click,python,625,199,200,1
jinja,python,625,199,200,1
express,javascript,625,199,200,1
redux,typescript,625,199,200,1
axios,typescript,625,199,200,1
lodash,javascript,625,199,200,1
databases,python,625,199,200,1
fastapi,python,625,199,200,1
svelte,typescript,625,199,200,1
prisma,typescript,625,199,200,1
localstack,python,625,199,200,1
scikit-learn,python,625,199,200,1
requests,python,625,199,200,1
airflow,python,625,199,200,1
django,python,625,199,200,1
pytorch,python,625,199,200,1
pandas,python,625,199,200,1
ansible,python,625,199,200,1
ray,python,625,199,200,1
elasticsearch,java,625,199,200,1
pytest,python,625,199,200,1
prefect,python,625,199,200,1
great_expectations,python,625,199,200,1
