repository_name,commit_count,contributors,modifications,quality_metric_rows,dataset_rows,status
requests,6476,803,8004,37,37,SUCCESS
pytest,17439,1143,43093,241,241,SUCCESS
click,3242,467,5149,63,63,SUCCESS
databases,335,62,669,24,24,SUCCESS
jinja,2949,341,7132,60,60,SUCCESS
fastapi,7285,911,28600,1125,1125,SUCCESS
express,6146,386,12080,141,141,SUCCESS
redux,4166,1076,8884,195,195,SUCCESS
axios,2084,642,6384,201,201,SUCCESS
lodash,7701,271,17701,27,27,SUCCESS
svelte,11252,951,87038,3448,3448,SUCCESS
prisma,12226,384,70090,2611,2611,SUCCESS
localstack,7855,682,40047,1970,1970,SUCCESS
scikit-learn,33756,3563,88513,1020,1020,SUCCESS
prefect,21620,474,68382,3465,3465,SUCCESS
great_expectations,13657,492,82687,1683,1683,SUCCESS
airflow,39027,4435,267658,8353,8353,SUCCESS
django,34691,3407,152241,2963,2963,SUCCESS
pandas,38107,4154,148325,1509,1509,SUCCESS
ansible,55471,6813,188783,1790,1790,SUCCESS
ray,500,121,3938,4815,4815,SUCCESS
pytorch,200,94,1637,4572,4572,SUCCESS
