,ray,prefect,svelte,click,requests,great_expectations,databases,fastapi,django,pandas,airflow,elasticsearch,ansible,axios,express,jinja,redux,scikit-learn,lodash,pytest,localstack,prisma,pytorch
ray,0.9999999403953552,0.999805212020874,0.9856442809104919,0.9998569488525391,0.9998146891593933,0.9986346960067749,0.9998132586479187,0.9997177124023438,0.9996924996376038,0.9997360706329346,0.999907374382019,0.9997544288635254,0.9998053312301636,0.9848864078521729,0.9856818914413452,0.999412477016449,0.9849886298179626,0.9988480806350708,0.9855407476425171,0.9998016357421875,0.9996747970581055,0.9847960472106934,0.9994438886642456
prefect,0.999805212020874,1.0000001192092896,0.9854670763015747,0.9997518062591553,0.99971604347229,0.9987788796424866,0.9997332692146301,0.9997960925102234,0.9997880458831787,0.999790370464325,0.9998199939727783,0.9997966885566711,0.9998851418495178,0.9846363067626953,0.9854148626327515,0.9995647072792053,0.9847314357757568,0.9990556240081787,0.9853049516677856,0.9998414516448975,0.9996570348739624,0.9845753908157349,0.9995734691619873
svelte,0.9856442809104919,0.9854670763015747,1.0,0.9849504232406616,0.9848942160606384,0.9845755696296692,0.9849815368652344,0.9853504300117493,0.985832929611206,0.9851828813552856,0.9852109551429749,0.9853449463844299,0.9854996204376221,0.9997526407241821,0.9996520280838013,0.9862654209136963,0.9997761845588684,0.9850813746452332,0.9997844696044922,0.985314667224884,0.9843266606330872,0.9998165369033813,0.986526370048523
click,0.9998569488525391,0.9997518062591553,0.9849504232406616,1.0000001192092896,0.9998115301132202,0.9986069798469543,0.9997619986534119,0.9997127056121826,0.9996899962425232,0.9997094869613647,0.9998852610588074,0.999759316444397,0.9997689127922058,0.9841790795326233,0.9850379824638367,0.9993759989738464,0.9843015074729919,0.9988455772399902,0.9848821759223938,0.999800443649292,0.9997275471687317,0.9840832948684692,0.9993480443954468
requests,0.9998146891593933,0.99971604347229,0.9848942160606384,0.9998115301132202,0.9999999403953552,0.9988617897033691,0.9999184012413025,0.9997583627700806,0.9997110962867737,0.9996819496154785,0.9998446106910706,0.9997712969779968,0.9997400641441345,0.9840903282165527,0.9851154088973999,0.999448299407959,0.9842177033424377,0.9989036917686462,0.9848470091819763,0.9997144937515259,0.999686062335968,0.9839677214622498,0.9994107484817505
great_expectations,0.9986346960067749,0.9987788796424866,0.9845755696296692,0.9986069798469543,0.9988617897033691,1.0,0.9987965226173401,0.9988388419151306,0.9988182783126831,0.9987343549728394,0.9986603856086731,0.9987495541572571,0.9986936450004578,0.9835626482963562,0.9845219850540161,0.998733639717102,0.9837570786476135,0.998455286026001,0.984429121017456,0.9987720251083374,0.9987561106681824,0.9834851026535034,0.9987066984176636
databases,0.9998132586479187,0.9997332692146301,0.9849815368652344,0.9997619986534119,0.9999184012413025,0.9987965226173401,1.0000001192092896,0.9997742772102356,0.9997092485427856,0.9997195601463318,0.9998472929000854,0.9997944235801697,0.999747097492218,0.9841656684875488,0.9851600527763367,0.9994643330574036,0.9842545986175537,0.9989060163497925,0.9849032163619995,0.9997043609619141,0.9996702075004578,0.9840473532676697,0.999464750289917
fastapi,0.9997177124023438,0.9997960925102234,0.9853504300117493,0.9997127056121826,0.9997583627700806,0.9988388419151306,0.9997742772102356,1.0000001192092896,0.9997869729995728,0.9997528791427612,0.9997739195823669,0.9998688101768494,0.9998037219047546,0.984534502029419,0.9854879379272461,0.99956876039505,0.9846623539924622,0.9990547299385071,0.9853029251098633,0.9998310804367065,0.999763548374176,0.9844309687614441,0.9995890855789185
django,0.9996924996376038,0.9997880458831787,0.985832929611206,0.9996899962425232,0.9997110962867737,0.9988182783126831,0.9997092485427856,0.9997869729995728,0.9999999403953552,0.9997966289520264,0.9997522830963135,0.9997551441192627,0.9998286962509155,0.985091507434845,0.985919177532196,0.9996256828308105,0.9852249622344971,0.999058187007904,0.985804557800293,0.9997971057891846,0.9995803236961365,0.984994649887085,0.999596118927002
pandas,0.9997360706329346,0.999790370464325,0.9851828813552856,0.9997094869613647,0.9996819496154785,0.9987343549728394,0.9997195601463318,0.9997528791427612,0.9997966289520264,1.0,0.9997871518135071,0.9997612833976746,0.9998041391372681,0.9844390153884888,0.9852519035339355,0.9994310140609741,0.9845155477523804,0.9990545511245728,0.9851115942001343,0.9998038411140442,0.9996430277824402,0.9843209981918335,0.9994735717773438
