held_out_repository,model_name,accuracy,macro_f1,weighted_f1
ray,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
ray,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
ray,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
ray,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
ray,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
prefect,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
prefect,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
prefect,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
prefect,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
prefect,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
svelte,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
svelte,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
svelte,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
svelte,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
svelte,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
click,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
click,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
click,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
click,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
click,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
requests,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
requests,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
requests,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
requests,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
requests,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
great_expectations,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
great_expectations,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
great_expectations,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
great_expectations,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
great_expectations,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
databases,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
databases,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
databases,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
databases,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
databases,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
fastapi,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
fastapi,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
fastapi,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
fastapi,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
fastapi,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
django,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
django,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
django,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
django,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
django,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
pandas,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
pandas,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
pandas,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
pandas,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
pandas,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
airflow,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
airflow,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
airflow,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
airflow,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
airflow,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
elasticsearch,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
elasticsearch,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
elasticsearch,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
elasticsearch,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
elasticsearch,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
ansible,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
ansible,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
ansible,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
ansible,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
ansible,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
axios,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
axios,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
axios,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
axios,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
axios,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
express,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
express,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
express,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
express,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
express,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
jinja,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
jinja,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
jinja,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
jinja,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
jinja,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
redux,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
redux,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
redux,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
redux,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
redux,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
scikit-learn,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
scikit-learn,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
scikit-learn,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
scikit-learn,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
scikit-learn,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
lodash,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
lodash,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
lodash,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
lodash,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
lodash,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
pytest,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
pytest,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
pytest,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
pytest,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
pytest,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
localstack,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
localstack,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
localstack,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
localstack,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
localstack,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
prisma,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
prisma,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
prisma,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
prisma,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
prisma,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
pytorch,Baseline RF,0.36,0.17647058823529413,0.19058823529411764
pytorch,Relative Features RF,0.36,0.17647058823529413,0.19058823529411764
pytorch,Repo-Normalized RF,0.36,0.17647058823529413,0.19058823529411764
pytorch,CORAL RF,0.36,0.17647058823529413,0.19058823529411764
pytorch,CORAL XGBoost,0.36,0.17647058823529413,0.19058823529411764
