held_out_repository,model_name,accuracy,macro_f1,weighted_f1
click,Baseline RF,0.5873015873015873,0.39828200293316574,0.5246775014216875
click,Relative Features RF,0.6666666666666666,0.5269303751277187,0.645453218508247
click,Repo-Normalized RF,0.6825396825396826,0.5858556648030332,0.6731480716443122
click,CORAL RF,0.5555555555555556,0.4655210915343561,0.5680980773095733
click,CORAL XGBoost,0.6349206349206349,0.538562091503268,0.6281979458450047
databases,Baseline RF,0.7916666666666666,0.7435897435897436,0.7916666666666666
databases,Relative Features RF,0.6666666666666666,0.6190476190476191,0.6752645502645502
databases,Repo-Normalized RF,0.6666666666666666,0.48888888888888893,0.6166666666666667
databases,CORAL RF,0.7083333333333334,0.5207017543859649,0.6559649122807018
databases,CORAL XGBoost,0.6666666666666666,0.48888888888888893,0.6166666666666667
axios,Baseline RF,0.44776119402985076,0.44082925994406574,0.49119919200943135
axios,Relative Features RF,0.5024875621890548,0.4298818298818299,0.5593335533634041
axios,Repo-Normalized RF,0.8208955223880597,0.5642361111111112,0.7899305555555557
axios,CORAL RF,0.8009950248756219,0.547676282051282,0.7690752965939534
axios,CORAL XGBoost,0.373134328358209,0.19883913764510777,0.23254869928962152
express,Baseline RF,0.6312056737588653,0.4784540576794098,0.5726718466829344
express,Relative Features RF,0.624113475177305,0.47210336630626487,0.5650885015670707
express,Repo-Normalized RF,0.6099290780141844,0.5221966800433954,0.5859169647801423
express,CORAL RF,0.6524822695035462,0.5238594136704404,0.6129067666885126
express,CORAL XGBoost,0.6666666666666666,0.4934086629001883,0.6062427375085147
jinja,Baseline RF,0.7166666666666667,0.5998409858874975,0.7188073941562314
jinja,Relative Features RF,0.8,0.6731190562176478,0.7870566991693752
jinja,Repo-Normalized RF,0.65,0.5656702025072323,0.6710028929604628
jinja,CORAL RF,0.7666666666666667,0.5404612159329141,0.740817610062893
jinja,CORAL XGBoost,0.7,0.4911727616645649,0.6796658259773014
redux,Baseline RF,0.4205128205128205,0.33105772673441847,0.3668737037013497
redux,Relative Features RF,0.3282051282051282,0.25144747725392885,0.27024665436576106
redux,Repo-Normalized RF,0.5025641025641026,0.3920315227540292,0.4432416411380605
redux,CORAL RF,0.49743589743589745,0.41072757651705016,0.45090231406020875
redux,CORAL XGBoost,0.4358974358974359,0.4316753896851731,0.4183441263693034
