feature_name,rf_intrinsic_importance,rf_permutation_mean,rf_permutation_std,rank_intrinsic,rank_permutation,average_rank
time_decayed_churn,0.4435905813555603,0.0,0.0,1.0,9.5,5.25
historical_bug_density,0.2970791584914564,0.0,0.0,2.0,9.5,5.75
time_since_last_bug_fix,0.2565610158872674,0.0,0.0,3.0,9.5,6.25
language_typescript,0.0010322030140426,0.0,0.0,4.0,9.5,6.75
language_python,0.0007757831749932,0.0,0.0,5.0,9.5,7.25
language_javascript,0.0005452272017012,0.0,0.0,6.0,9.5,7.75
language_java,0.0004160308749786,0.0,0.0,7.0,9.5,8.25
modification_count,0.0,0.0,0.0,13.0,9.5,11.25
contributor_count,0.0,0.0,0.0,13.0,9.5,11.25
commit_frequency,0.0,0.0,0.0,13.0,9.5,11.25
repository_age_days,0.0,0.0,0.0,13.0,9.5,11.25
recent_churn,0.0,0.0,0.0,13.0,9.5,11.25
contributor_entropy,0.0,0.0,0.0,13.0,9.5,11.25
loc,0.0,0.0,0.0,13.0,9.5,11.25
commit_count,0.0,0.0,0.0,13.0,9.5,11.25
complexity,0.0,0.0,0.0,13.0,9.5,11.25
ownership_concentration,0.0,0.0,0.0,13.0,9.5,11.25
bus_factor,0.0,0.0,0.0,13.0,9.5,11.25
