model_name,target,horizon,mae,rmse,r2,mape
Persistence,future_risk,30d,1.6666666666666667,2.886751345948129,0.0,3.3333333333333335
Random Forest,future_risk,30d,0.0,0.0,1.0,0.0
XGBoost,future_risk,30d,0.0,0.0,1.0,0.0
Persistence,future_risk,60d,1.6666666666666667,2.886751345948129,0.0,1.6666666666666667
Random Forest,future_risk,60d,0.0,0.0,1.0,0.0
XGBoost,future_risk,60d,0.0,0.0,1.0,0.0
Persistence,future_risk,90d,13.833333333333334,18.395017441325425,0.0,9.222222222222221
Random Forest,future_risk,90d,0.0,0.0,1.0,0.0
XGBoost,future_risk,90d,0.0,0.0,1.0,0.0
Persistence,future_defect_count,30d,0.3333333333333333,0.5773502691896257,0.0,3.3333333333333335
Random Forest,future_defect_count,30d,0.0,0.0,1.0,0.0
XGBoost,future_defect_count,30d,0.0,0.0,1.0,0.0
Persistence,future_defect_count,60d,0.3333333333333333,0.5773502691896257,0.0,1.6666666666666667
Random Forest,future_defect_count,60d,0.0,0.0,1.0,0.0
XGBoost,future_defect_count,60d,0.0,0.0,1.0,0.0
Persistence,future_defect_count,90d,0.3333333333333333,0.5773502691896257,0.0,1.1111111111111112
Random Forest,future_defect_count,90d,0.0,0.0,1.0,0.0
XGBoost,future_defect_count,90d,0.0,0.0,1.0,0.0
Persistence,future_modification_intensity,30d,0.0,0.0,1.0,0.0
Random Forest,future_modification_intensity,30d,0.0,0.0,1.0,0.0
XGBoost,future_modification_intensity,30d,0.0,0.0,1.0,0.0
Persistence,future_modification_intensity,60d,0.0,0.0,1.0,0.0
Random Forest,future_modification_intensity,60d,0.0,0.0,1.0,0.0
XGBoost,future_modification_intensity,60d,0.0,0.0,1.0,0.0
Persistence,future_modification_intensity,90d,121.66666666666667,157.07004806773315,0.0,0.0
Random Forest,future_modification_intensity,90d,0.0,0.0,1.0,0.0
XGBoost,future_modification_intensity,90d,0.0,0.0,1.0,0.0
