repository_name,file_path,predicted_risk,risk_probability,confidence_score,complexity,maintainability_index,loc,modification_count
flask,tests/test_basic.py,HIGH,1.0,1.0,369,-44.8585,1440,21.0
flask,tests/test_helpers.py,HIGH,1.0,1.0,65,17.4519,260,6.0
flask,src/flask/sansio/app.py,HIGH,1.0,1.0,49,7.6091,678,20.0
flask,src/flask/sansio/blueprints.py,HIGH,1.0,1.0,50,9.9347,557,6.0
flask,src/flask/ctx.py,HIGH,1.0,1.0,33,16.5858,393,13.0
flask,src/flask/app.py,HIGH,1.0,1.0,130,-10.7904,1235,42.0
flask,src/flask/config.py,HIGH,1.0,1.0,32,20.874,282,6.0
flask,tests/test_testing.py,HIGH,1.0,1.0,86,14.248,268,9.0
flask,tests/test_appctx.py,HIGH,1.0,1.0,60,22.316,186,5.0
flask,tests/test_templating.py,HIGH,1.0,1.0,103,7.5587,381,2.0
flask,tests/test_cli.py,HIGH,1.0,1.0,102,4.3921,496,8.0
flask,tests/test_json.py,HIGH,1.0,1.0,33,21.2836,270,2.0
flask,src/flask/json/tag.py,HIGH,1.0,1.0,18,25.4721,227,4.0
flask,tests/test_user_error_handler.py,HIGH,1.0,1.0,50,21.9061,214,0.0
flask,tests/test_views.py,HIGH,1.0,1.0,30,26.2839,187,3.0
flask,tests/test_blueprints.py,HIGH,1.0,1.0,163,-9.4621,779,8.0
flask,tests/test_reqctx.py,HIGH,1.0,1.0,45,24.537,183,6.0
flask,tests/test_signals.py,HIGH,1.0,1.0,23,30.9377,139,3.0
flask,tests/test_request.py,HIGH,1.0,1.0,19,44.2713,50,2.0
flask,tests/test_config.py,HIGH,1.0,1.0,48,23.598,191,2.0
flask,src/flask/sansio/scaffold.py,HIGH,0.9999,0.9999,28,13.4215,534,8.0
flask,examples/tutorial/flaskr/blog.py,HIGH,0.9999,0.9999,10,36.8074,100,2.0
flask,src/flask/wrappers.py,HIGH,0.9997,0.9997,18,28.728,175,7.0
flask,tests/test_async.py,HIGH,0.9997,0.9997,8,36.5856,104,1.0
flask,src/flask/sessions.py,HIGH,0.9996,0.9996,15,23.2943,279,19.0
streamlit,lib/tests/streamlit/elements/heading_test.py,HIGH,1.0,1.0,139,1.6468,415,0.0
streamlit,lib/tests/streamlit/runtime/memory_media_file_storage_test.py,HIGH,1.0,1.0,36,19.1917,309,0.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_websocket_test.py,HIGH,1.0,1.0,77,7.8306,493,0.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_path_security_middleware_test.py,HIGH,1.0,1.0,33,13.9277,486,0.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_server_test.py,HIGH,1.0,1.0,133,-8.9951,1036,2.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_static_routes_test.py,HIGH,1.0,1.0,84,8.6585,428,0.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_auth_routes_test.py,HIGH,1.0,1.0,152,-9.5791,885,3.0
streamlit,lib/tests/streamlit/runtime/pages_manager_test.py,HIGH,1.0,1.0,23,32.8819,119,1.0
streamlit,lib/tests/streamlit/runtime/websocket_session_manager_test.py,HIGH,1.0,1.0,97,6.4225,445,0.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_routes_test.py,HIGH,1.0,1.0,35,23.0758,229,0.0
streamlit,lib/tests/streamlit/runtime/theme_util_test.py,HIGH,1.0,1.0,50,21.168,227,0.0
streamlit,lib/tests/streamlit/runtime/media_file_manager_test.py,HIGH,1.0,1.0,101,0.9706,659,1.0
streamlit,lib/tests/streamlit/runtime/parallel_fragment_coordinator_test.py,HIGH,1.0,1.0,55,13.982,382,2.0
streamlit,lib/tests/streamlit/runtime/uploaded_file_manager_test.py,HIGH,1.0,1.0,41,24.1525,197,1.0
streamlit,frontend/lib/src/components/shared/ProgressBar/ProgressBar.test.tsx,HIGH,1.0,1.0,2,42.5271,69,1.0
streamlit,lib/tests/streamlit/runtime/backend_operation_handler_test.py,HIGH,1.0,1.0,20,35.2145,102,1.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_server_config_test.py,HIGH,1.0,1.0,4,50.0571,37,1.0
streamlit,lib/tests/streamlit/web/server/starlette/starlette_app_test.py,HIGH,1.0,1.0,266,-34.0451,1836,2.0
streamlit,frontend/lib/src/components/shared/ProgressBar/styled-components.ts,HIGH,1.0,1.0,4,58.3978,19,1.0
streamlit,lib/tests/streamlit/watcher/local_sources_watcher_test.py,HIGH,1.0,1.0,108,-0.4002,682,1.0
streamlit,lib/tests/streamlit/delta_generator_singletons_test.py,HIGH,1.0,1.0,37,27.3724,159,1.0
streamlit,lib/tests/streamlit/cursor_test.py,HIGH,1.0,1.0,53,23.3928,184,1.0
streamlit,lib/tests/streamlit/watcher/event_based_path_watcher_test.py,HIGH,1.0,1.0,37,7.8108,759,0.0
streamlit,frontend/lib/src/components/shared/Modal/Modal.tsx,HIGH,1.0,1.0,18,32.642,128,1.0
streamlit,frontend/lib/src/components/shared/Modal/Modal.test.tsx,HIGH,1.0,1.0,3,32.2643,155,2.0
cal.com,packages/app-store/salesforce/components/EventTypeAppCardInterface.tsx,HIGH,1.0,1.0,37,13.6762,475,0.0
cal.com,packages/lib/server/service/__tests__/BookingWebhookFactory.test.ts,HIGH,1.0,1.0,1,24.6504,291,1.0
cal.com,packages/embeds/embed-core/playwright/tests/action-based.e2e.ts,HIGH,1.0,1.0,17,22.8472,283,1.0
cal.com,packages/embeds/embed-core/playground/lib/playground.ts,HIGH,1.0,1.0,70,4.5468,691,1.0
cal.com,packages/lib/domainManager/deploymentServices/cloudflare.ts,HIGH,1.0,1.0,20,26.1773,210,0.0
cal.com,packages/lib/__tests__/buildCalEventFromBooking.test.ts,HIGH,1.0,1.0,5,29.0583,196,1.0
cal.com,packages/lib/components/ServerTrans.tsx,HIGH,1.0,1.0,66,17.6095,254,0.0
cal.com,packages/lib/intervalLimits/limitManager.ts,HIGH,1.0,1.0,21,39.439,72,1.0
cal.com,packages/lib/server/service/BookingWebhookFactory.ts,HIGH,1.0,1.0,12,34.1528,121,1.0
cal.com,packages/embeds/embed-core/src/embed-iframe.ts,HIGH,1.0,1.0,133,-2.3254,608,1.0
cal.com,packages/lib/server/service/lingoDotDev.ts,HIGH,1.0,1.0,12,39.9729,76,1.0
cal.com,packages/lib/server/avatar.test.ts,HIGH,1.0,1.0,2,39.4832,88,1.0
cal.com,packages/lib/server/updateUserAvatarUrl.test.ts,HIGH,1.0,1.0,1,45.9632,53,1.0
cal.com,packages/lib/server/avatar.ts,HIGH,1.0,1.0,4,42.4408,68,1.0
cal.com,packages/lib/server/username.ts,HIGH,1.0,1.0,32,23.6443,226,0.0
cal.com,packages/lib/holidays/HolidayService.ts,HIGH,1.0,1.0,28,24.3496,223,0.0
cal.com,packages/embeds/embed-core/playwright/lib/testUtils.ts,HIGH,1.0,1.0,22,29.6283,156,1.0
cal.com,packages/embeds/embed-core/src/EmbedElement.test.ts,HIGH,1.0,1.0,18,19.1568,376,0.0
cal.com,packages/lib/test/builder.ts,HIGH,1.0,1.0,12,21.3714,336,2.0
cal.com,packages/i18n/next-i18next.config.test.ts,HIGH,1.0,1.0,3,47.7419,45,1.0
cal.com,apps/web/app/_utils.tsx,HIGH,1.0,1.0,14,30.4659,159,1.0
cal.com,apps/web/next.config.ts,HIGH,1.0,1.0,49,8.7081,621,4.0
cal.com,apps/web/proxy.test.ts,HIGH,1.0,1.0,34,17.206,370,1.0
cal.com,.snaplet/transform.ts,HIGH,1.0,1.0,6,26.494,238,1.0
cal.com,packages/i18n/server.ts,HIGH,1.0,1.0,14,44.696,51,1.0
