model,repository_name,n_train,n_test,accuracy,macro_f1,weighted_f1
RandomForest,ray,35498,4815,1.0,1.0,1.0
RandomForest,prefect,36848,3465,1.0,1.0,1.0
RandomForest,svelte,36865,3448,1.0,1.0,1.0
RandomForest,click,40250,63,1.0,1.0,1.0
RandomForest,requests,40276,37,1.0,1.0,1.0
RandomForest,great_expectations,38630,1683,1.0,1.0,1.0
RandomForest,databases,40289,24,1.0,1.0,1.0
RandomForest,fastapi,39188,1125,1.0,1.0,1.0
RandomForest,django,37350,2963,1.0,1.0,1.0
RandomForest,pandas,38804,1509,1.0,1.0,1.0
RandomForest,airflow,31960,8353,1.0,1.0,1.0
RandomForest,ansible,38523,1790,1.0,1.0,1.0
RandomForest,axios,40112,201,1.0,1.0,1.0
RandomForest,express,40172,141,1.0,1.0,1.0
RandomForest,jinja,40253,60,1.0,1.0,1.0
RandomForest,redux,40118,195,1.0,1.0,1.0
RandomForest,scikit-learn,39293,1020,1.0,1.0,1.0
RandomForest,lodash,40286,27,1.0,1.0,1.0
RandomForest,pytest,40072,241,1.0,1.0,1.0
RandomForest,localstack,38343,1970,1.0,1.0,1.0
RandomForest,prisma,37702,2611,1.0,1.0,1.0
RandomForest,pytorch,35741,4572,1.0,1.0,1.0
XGBoost,ray,35498,4815,1.0,1.0,1.0
XGBoost,prefect,36848,3465,1.0,1.0,1.0
XGBoost,svelte,36865,3448,1.0,1.0,1.0
XGBoost,click,40250,63,1.0,1.0,1.0
XGBoost,requests,40276,37,1.0,1.0,1.0
XGBoost,great_expectations,38630,1683,1.0,1.0,1.0
XGBoost,databases,40289,24,1.0,1.0,1.0
XGBoost,fastapi,39188,1125,1.0,1.0,1.0
XGBoost,django,37350,2963,1.0,1.0,1.0
XGBoost,pandas,38804,1509,1.0,1.0,1.0
XGBoost,airflow,31960,8353,1.0,1.0,1.0
XGBoost,ansible,38523,1790,1.0,1.0,1.0
XGBoost,axios,40112,201,1.0,1.0,1.0
XGBoost,express,40172,141,1.0,1.0,1.0
XGBoost,jinja,40253,60,1.0,1.0,1.0
XGBoost,redux,40118,195,1.0,1.0,1.0
XGBoost,scikit-learn,39293,1020,1.0,1.0,1.0
XGBoost,lodash,40286,27,1.0,1.0,1.0
XGBoost,pytest,40072,241,1.0,1.0,1.0
XGBoost,localstack,38343,1970,1.0,1.0,1.0
XGBoost,prisma,37702,2611,1.0,1.0,1.0
XGBoost,pytorch,35741,4572,1.0,1.0,1.0
LightGBM,ray,35498,4815,1.0,1.0,1.0
LightGBM,prefect,36848,3465,1.0,1.0,1.0
LightGBM,svelte,36865,3448,1.0,1.0,1.0
LightGBM,click,40250,63,1.0,1.0,1.0
LightGBM,requests,40276,37,1.0,1.0,1.0
LightGBM,great_expectations,38630,1683,1.0,1.0,1.0
LightGBM,databases,40289,24,1.0,1.0,1.0
LightGBM,fastapi,39188,1125,1.0,1.0,1.0
LightGBM,django,37350,2963,1.0,1.0,1.0
LightGBM,pandas,38804,1509,1.0,1.0,1.0
LightGBM,airflow,31960,8353,1.0,1.0,1.0
LightGBM,ansible,38523,1790,1.0,1.0,1.0
LightGBM,axios,40112,201,1.0,1.0,1.0
LightGBM,express,40172,141,1.0,1.0,1.0
LightGBM,jinja,40253,60,1.0,1.0,1.0
LightGBM,redux,40118,195,1.0,1.0,1.0
LightGBM,scikit-learn,39293,1020,1.0,1.0,1.0
LightGBM,lodash,40286,27,1.0,1.0,1.0
LightGBM,pytest,40072,241,1.0,1.0,1.0
LightGBM,localstack,38343,1970,1.0,1.0,1.0
LightGBM,prisma,37702,2611,1.0,1.0,1.0
LightGBM,pytorch,35741,4572,1.0,1.0,1.0
