repository_name,observed_total_files,observed_source_files,observed_commits,observed_contributors,observed_loc,expected_total_files,expected_source_files,expected_commits,expected_contributors,expected_loc_estimate,files_ratio,verdict
airflow,25,25,200,1,625,4000,2500,25000,2000,500000,25/4000 = 0.6%,SYNTHETIC ❌
ansible,25,25,200,1,625,3000,2000,70000,5000,400000,25/3000 = 0.8%,SYNTHETIC ❌
axios,25,25,200,1,625,50,30,800,350,10000,25/50 = 50.0%,SYNTHETIC ❌
click,25,25,200,1,625,30,20,2000,400,8000,25/30 = 83.3%,SYNTHETIC ❌
databases,25,25,200,1,625,20,15,500,30,3000,25/20 = 125.0%,SYNTHETIC ❌
django,25,25,200,1,625,1500,1200,33000,3000,350000,25/1500 = 1.7%,SYNTHETIC ❌
elasticsearch,25,25,200,1,625,8000,6000,70000,1700,2000000,25/8000 = 0.3%,SYNTHETIC ❌
express,25,25,200,1,625,50,35,5000,350,12000,25/50 = 50.0%,SYNTHETIC ❌
fastapi,25,25,200,1,625,80,60,4000,400,25000,25/80 = 31.2%,SYNTHETIC ❌
great_expectations,25,25,200,1,625,500,400,8000,400,150000,25/500 = 5.0%,SYNTHETIC ❌
jinja,25,25,200,1,625,30,25,2500,200,15000,25/30 = 83.3%,SYNTHETIC ❌
localstack,25,25,200,1,625,800,600,10000,400,200000,25/800 = 3.1%,SYNTHETIC ❌
lodash,25,25,200,1,625,300,250,6000,350,80000,25/300 = 8.3%,SYNTHETIC ❌
pandas,25,25,200,1,625,1200,900,30000,3000,400000,25/1200 = 2.1%,SYNTHETIC ❌
prefect,25,25,200,1,625,400,300,8000,300,120000,25/400 = 6.2%,SYNTHETIC ❌
prisma,25,25,200,1,625,800,600,12000,700,250000,25/800 = 3.1%,SYNTHETIC ❌
pytest,25,25,200,1,625,100,80,6000,500,30000,25/100 = 25.0%,SYNTHETIC ❌
pytorch,25,25,200,1,625,15000,10000,60000,4000,3000000,25/15000 = 0.2%,SYNTHETIC ❌
ray,25,25,200,1,625,3000,2000,20000,900,600000,25/3000 = 0.8%,SYNTHETIC ❌
redux,25,25,200,1,625,50,35,3000,400,12000,25/50 = 50.0%,SYNTHETIC ❌
requests,25,25,200,1,625,30,25,6000,800,10000,25/30 = 83.3%,SYNTHETIC ❌
scikit-learn,25,25,200,1,625,600,500,30000,2500,350000,25/600 = 4.2%,SYNTHETIC ❌
svelte,25,25,200,1,625,300,250,8000,600,100000,25/300 = 8.3%,SYNTHETIC ❌
