repository_name,cloned,commit_count,modification_count,contributors,files_processed,metrics_generated,is_synthetic,first_commit_hash_sample,expected_real_files,expected_real_commits,data_integrity
airflow,True,200,250,1,25,True,True,hash_airflow_0,4000,25000,FAIL-SYNTHETIC
ansible,True,200,250,1,25,True,True,hash_ansible_0,3000,70000,FAIL-SYNTHETIC
axios,True,200,250,1,25,True,True,hash_axios_0,50,800,FAIL-SYNTHETIC
click,True,200,250,1,25,True,True,hash_click_0,30,2000,FAIL-SYNTHETIC
databases,True,200,250,1,25,True,True,hash_databases_0,20,500,FAIL-SYNTHETIC
django,True,200,250,1,25,True,True,hash_django_0,1500,33000,FAIL-SYNTHETIC
elasticsearch,True,200,250,1,25,True,True,hash_elasticsearch_0,8000,70000,FAIL-SYNTHETIC
express,True,200,250,1,25,True,True,hash_express_0,50,5000,FAIL-SYNTHETIC
fastapi,True,200,250,1,25,True,True,hash_fastapi_0,80,4000,FAIL-SYNTHETIC
great_expectations,True,200,250,1,25,True,True,hash_great_expectations_0,500,8000,FAIL-SYNTHETIC
jinja,True,200,250,1,25,True,True,hash_jinja_0,30,2500,FAIL-SYNTHETIC
localstack,True,200,250,1,25,True,True,hash_localstack_0,800,10000,FAIL-SYNTHETIC
lodash,True,200,250,1,25,True,True,hash_lodash_0,300,6000,FAIL-SYNTHETIC
pandas,True,200,250,1,25,True,True,hash_pandas_0,1200,30000,FAIL-SYNTHETIC
prefect,True,200,250,1,25,True,True,hash_prefect_0,400,8000,FAIL-SYNTHETIC
prisma,True,200,250,1,25,True,True,hash_prisma_0,800,12000,FAIL-SYNTHETIC
pytest,True,200,250,1,25,True,True,hash_pytest_0,100,6000,FAIL-SYNTHETIC
pytorch,True,200,250,1,25,True,True,hash_pytorch_0,15000,60000,FAIL-SYNTHETIC
ray,True,200,250,1,25,True,True,hash_ray_0,3000,20000,FAIL-SYNTHETIC
redux,True,200,250,1,25,True,True,hash_redux_0,50,3000,FAIL-SYNTHETIC
requests,True,200,250,1,25,True,True,hash_requests_0,30,6000,FAIL-SYNTHETIC
scikit-learn,True,200,250,1,25,True,True,hash_scikit-learn_0,600,30000,FAIL-SYNTHETIC
svelte,True,200,250,1,25,True,True,hash_svelte_0,300,8000,FAIL-SYNTHETIC
