model,repository_name,n_train,n_test,accuracy,macro_f1,weighted_f1
XGBoost,ray,35498,4815,0.9722,0.9746,0.9722
XGBoost,prefect,36848,3465,0.9812,0.9769,0.9812
XGBoost,svelte,36865,3448,0.9869,0.9838,0.9869
XGBoost,click,40250,63,0.9841,0.9829,0.9843
XGBoost,requests,40276,37,0.973,0.9732,0.9731
XGBoost,great_expectations,38630,1683,0.9715,0.9639,0.9715
XGBoost,databases,40289,24,0.9583,0.9582,0.9582
XGBoost,fastapi,39188,1125,0.9662,0.9662,0.9661
XGBoost,django,37350,2963,0.9808,0.9586,0.9809
XGBoost,pandas,38804,1509,0.9616,0.9616,0.9616
XGBoost,airflow,31960,8353,0.968,0.9663,0.9681
XGBoost,ansible,38523,1790,0.962,0.9549,0.9618
XGBoost,axios,40112,201,0.9801,0.9468,0.9805
XGBoost,express,40172,141,0.9574,0.9572,0.9576
XGBoost,jinja,40253,60,0.9333,0.9335,0.9342
XGBoost,redux,40118,195,0.9949,0.9939,0.9949
XGBoost,scikit-learn,39293,1020,0.9696,0.9659,0.9698
XGBoost,lodash,40286,27,1.0,1.0,1.0
XGBoost,pytest,40072,241,0.971,0.9663,0.9707
XGBoost,localstack,38343,1970,0.9731,0.9692,0.9731
XGBoost,prisma,37702,2611,0.9797,0.9793,0.9797
XGBoost,pytorch,35741,4572,0.9816,0.9825,0.9816
LightGBM,ray,35498,4815,0.9724,0.9747,0.9724
LightGBM,prefect,36848,3465,0.9815,0.9784,0.9815
LightGBM,svelte,36865,3448,0.9919,0.99,0.9919
LightGBM,click,40250,63,0.9841,0.9829,0.9843
LightGBM,requests,40276,37,0.973,0.9732,0.9731
LightGBM,great_expectations,38630,1683,0.9709,0.9647,0.9709
LightGBM,databases,40289,24,0.9583,0.9582,0.9582
LightGBM,fastapi,39188,1125,0.9716,0.9717,0.9715
LightGBM,django,37350,2963,0.9821,0.959,0.9822
LightGBM,pandas,38804,1509,0.9649,0.9642,0.9648
LightGBM,airflow,31960,8353,0.9661,0.9639,0.966
LightGBM,ansible,38523,1790,0.9676,0.9602,0.9674
LightGBM,axios,40112,201,0.9851,0.9593,0.9852
LightGBM,express,40172,141,0.9787,0.9785,0.9788
LightGBM,jinja,40253,60,0.9667,0.9615,0.9669
LightGBM,redux,40118,195,0.9897,0.9877,0.9897
LightGBM,scikit-learn,39293,1020,0.9657,0.962,0.966
LightGBM,lodash,40286,27,1.0,1.0,1.0
LightGBM,pytest,40072,241,0.9751,0.9708,0.9748
LightGBM,localstack,38343,1970,0.9751,0.9712,0.9751
LightGBM,prisma,37702,2611,0.9793,0.9789,0.9793
LightGBM,pytorch,35741,4572,0.9801,0.9811,0.9801
RandomForest,ray,35498,4815,0.963,0.9652,0.9631
RandomForest,prefect,36848,3465,0.9633,0.9558,0.963
RandomForest,svelte,36865,3448,0.9603,0.9496,0.9597
RandomForest,click,40250,63,0.9524,0.9423,0.9531
RandomForest,requests,40276,37,0.973,0.9732,0.9731
RandomForest,great_expectations,38630,1683,0.9513,0.944,0.9516
RandomForest,databases,40289,24,0.9167,0.9132,0.9132
RandomForest,fastapi,39188,1125,0.9609,0.9609,0.9608
RandomForest,django,37350,2963,0.971,0.9317,0.9715
RandomForest,pandas,38804,1509,0.9536,0.9545,0.9536
RandomForest,airflow,31960,8353,0.9547,0.951,0.9548
RandomForest,ansible,38523,1790,0.9441,0.93,0.9437
RandomForest,axios,40112,201,0.9851,0.9593,0.9852
RandomForest,express,40172,141,0.8794,0.8794,0.8796
RandomForest,jinja,40253,60,0.9167,0.9198,0.9179
RandomForest,redux,40118,195,0.9795,0.9755,0.9794
RandomForest,scikit-learn,39293,1020,0.948,0.944,0.9489
RandomForest,lodash,40286,27,1.0,1.0,1.0
RandomForest,pytest,40072,241,0.9461,0.9353,0.9458
RandomForest,localstack,38343,1970,0.9543,0.9516,0.9543
RandomForest,prisma,37702,2611,0.9659,0.9652,0.9659
RandomForest,pytorch,35741,4572,0.9663,0.9683,0.9663
